"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","CL (L/d) [1]","V (L) [2,3]","CLADA","VADA","VALB","VCREAT","IIV CL (value obtained from SCM+)","IIV V","EPS(1), proportional (value obtained from SCM+)","EPS(2)","seCL (L/d) [1]","seV (L) [2,3]","seCLADA","seVADA","seVALB","seVCREAT","seIIV CL (value obtained from SCM+)","seIIV V","seEPS(1), proportional (value obtained from SCM+)","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
1745,18,45,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10815.322382895556,17.6689139895007,0.000145627728877004,0.000510513374259719,0.285257421684936,0.000173278697458398,1,451,1.27476,5.00018,3.77441,-0.397437,-0.130975,0.19491,0.462863,0.32017,0.284943,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1746,18,46,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,1640751837.5337183,1640741039.88025,0,0.142600091220933,0,0,0,0,1.47827,4.84171,3.49562,-0.342226,-0.12585,0.217161,0.68315,0.374108,0.294965,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1747,18,47,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10811.379969862457,13.7265009564017,0.00104550999596326,0.00904568486992398,0.115581076612505,7.02093508661609e-05,0,0,1.32984,4.96124,4.85415,-0.206718,-0.120127,0.08311,0.382721,0.315339,0.280127,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1748,18,48,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10825.968688388455,28.3152194823997,7.10277753569693e-07,0.00775671425244112,9.15694107651525e-05,5.5623542170074e-08,0,0,1.09801,6.09063,4.42602,-0.139556,-0.128523,0.194022,0.425297,0.40442,0.294193,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1749,18,49,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10809.366471966634,11.7130030605786,0.00286123614130658,0.0199355798250501,0.143524099445118,8.7183249637613e-05,1,881,1.61604,5.05123,4.22153,-0.0604287,-0.124857,0.217364,0.824215,0.397212,0.273984,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1750,18,50,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10800.488017063322,2.83454815726691,0.24237380916265,0.172088014572703,1.40842934218555,0.00085554584499348,1,81,1.41832,5.53791,4.12759,-0.251348,-0.124969,0.242104,0.642246,0.390009,0.279887,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1751,18,51,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10801.332130352199,3.67866144614345,0.158923754523631,0.0603828572347288,2.63193498621372,0.00159876038811713,1,253,1.4602,5.09785,4.4731,-0.245767,-0.124416,0.045646,0.62838,0.322674,0.277577,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1752,18,52,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,226158575.07969344,226147777.426225,0,0.0181180182752518,0,0,0,0,1.51809,4.22128,4.35363,-0.20917,-0.127125,0.192976,0.73397,0.336968,0.269121,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1753,18,53,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10807.941051469281,10.2875825632254,0.00583552360755801,0.0185770315929474,0.314125729848756,0.000190814657809253,1,755,1.14696,5.36518,4.22763,-0.362659,-0.1268,0.169753,0.639958,0.394613,0.276077,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1754,18,54,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,302263789.11212897,302252991.45866,0,0.040947151389938,0,0,0,0,1.36751,4.65058,3.30899,-0.317913,-0.127274,0.271734,0.565415,0.415349,0.273536,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1755,18,55,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10809.904752680523,12.2512837744671,0.00218608744610843,0.0168478962372883,0.129754327502926,7.88188462424317e-05,1,767,1.43634,5.62225,4.43411,-0.212461,-0.125421,0.134849,0.390484,0.4175,0.285309,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1756,18,56,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10864.450025055647,66.7965561495912,3.12832688504639e-15,0.0138937216675656,2.25161188621574e-13,1.36773435208369e-16,0,0,1.19824,5.40444,5.53341,-0.0563679,-0.123132,0.153447,0.22933,0.443774,0.299205,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1757,18,57,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10820.959214154251,23.3057452481953,8.69404174260258e-06,0.00227197517673899,0.00382664468855744,2.32448292967357e-06,0,0,1.82225,4.1043,2.91566,-0.441135,-0.126804,0.299819,0.69007,0.497235,0.27074,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1758,18,58,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10812.915429081360,15.2619601753049,0.000485185101309725,0.0384646907128903,0.0126137788272175,7.66219911930162e-06,0,0,1.58707,4.0225,4.08946,-0.332413,-0.124542,0.132545,0.757358,0.411988,0.268797,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1759,18,59,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10829.661873037259,32.0084041312039,1.12063286679172e-07,0.0883618269438171,1.26823188875922e-06,7.70383355712025e-10,0,0,1.30389,5.48161,4.79043,-0.16043,-0.12538,0.173792,0.300239,0.416561,0.305139,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1760,18,60,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10809.485780717698,11.8323118116423,0.00269554220445157,0.0437496168966587,0.0616129327673596,3.74265765758469e-05,1,816,1.58391,4.5963,3.39422,-0.430767,-0.122254,0.288564,0.790674,0.409285,0.27462,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1761,18,61,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10822.282376039651,24.6289071335959,4.48642868051733e-06,0.0981914023659935,4.56906467614634e-05,2.77546354800985e-08,0,0,1.31476,5.00287,4.10856,-0.240621,-0.124615,0.103753,0.303621,0.429144,0.286413,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1762,18,62,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10869.680883411553,72.0274145054973,2.28794545847906e-16,0.000226439585886347,1.01039994819078e-12,6.13764177984844e-16,0,0,1.33732,5.92485,4.0475,-0.152756,-0.124448,0.246755,0.85863,0.136951,0.286895,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1763,18,63,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10803.592828823099,5.93935991704348,0.0513197321468883,0.14506270092872,0.353776207242312,0.000214900211958122,1,782,1.32726,4.98627,4.80933,-0.100841,-0.122961,0.105692,0.495664,0.387104,0.278872,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1764,18,64,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,162724845.64356405,162714047.990095,0,0.0119179094534797,0,0,0,0,1.62428,4.21399,3.06982,-0.47445,-0.122924,0.311911,0.917249,0.401111,0.260337,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1765,18,65,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10829.575336120835,31.9218672147799,1.17018521952693e-07,0.000334166867555792,0.00035017990505344,2.12715649834291e-07,0,0,1.78341,4.62852,4.00636,-0.312635,-0.125691,0.180386,1.09974,0.528885,0.250689,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
