"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","[1] CL (L/d)","VMAX","KM","[2,3] V1 (L)","V2","Q","CLALB","IIV CL","EPS(1), proportional","EPS(2)","se[1] CL (L/d)","seVMAX","seKM","se[2,3] V1 (L)","seV2","seQ","seCLALB","seIIV CL","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
25,1,1,0,0,0,0,0,1,0,0,0,0,2.6,NA,FOCE_I,NA,223.49,0,4536.6202766782244,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,1,0,1,0,0,0,0,0,0,0,0,3.7,NA,FOCE_I,NA,428.63,0,6637.7297639506378,0.938851,1.37919,0.00758016,4.42743,0.000306622,12.9911,-4.04447,0.366098,0.327249,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,1,0,0,0,0,0,1,0,0,0,0,2.5,NA,FOCE_I,NA,354.14,0,6941.6402444704181,0.942913,1.37969,0.00757959,4.42296,0.000306965,12.9979,-3.66876,0.366118,0.327136,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,1,0,0,0,0,0,1,0,0,0,0,2.2,NA,FOCE_I,NA,1257.8,0,6280.1646765522883,0.942977,1.37997,0.00757371,4.4228,0.000306956,12.9963,-3.68062,0.365649,0.327126,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,336.69,0,7910.9435369596176,0.942949,1.37978,0.00757952,4.42259,0.000306966,12.9976,-3.66933,0.36611,0.327119,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,762.38,0,5096.0610658626738,0.942884,1.37969,0.00758013,4.42281,0.000306853,12.9975,-3.66969,0.366013,0.327095,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,359.97,0,7113.1224549651342,0.942913,1.37973,0.00758007,4.42298,0.000306988,12.993,-3.66938,0.366115,0.327112,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,1,0,0,0,0,0,1,0,0,0,0,2,NA,FOCE_I,NA,233.15,0,4722.8179408442338,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,213.5,0,6752.1069309348486,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,FOCE_I,NA,343.85,0,6596.6117598816436,0.942944,1.37978,0.00757952,4.42275,0.000306966,12.9977,-3.66915,0.366124,0.327118,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,201.83,0,3863.0206692499005,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,387.11,0,5928.7096494545631,0.942926,1.37966,0.00757953,4.42286,0.000306966,12.9978,-3.66859,0.366137,0.327142,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,1,0,0,0,0,0,1,0,0,1,0,NA,NA,FOCE_I,NA,675.43,0,5059.5227778293684,0.942848,1.37978,0.00758158,4.42196,0.000307019,12.994,-3.68295,0.366296,0.327641,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,418.4,0,5424.7360971266198,0.943082,1.37995,0.00758076,4.42218,0.000306922,12.9978,-3.66511,0.366238,0.327116,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,276.82,0,5988.3499712298199,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,427.43,0,5702.5004887561117,0.94292,1.37974,0.00757965,4.42296,0.000306966,12.998,-3.66895,0.366115,0.327126,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,1,0,0,0,0,0,1,0,0,0,0,2.7,NA,FOCE_I,NA,249.58,0,5876.4570478047117,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,1,0,0,0,0,0,1,0,0,0,0,2.7,NA,FOCE_I,NA,467.13,0,5723.6449113073950,0.942952,1.37978,0.00758127,4.42243,0.00030701,12.9959,-3.66803,0.366129,0.327035,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,336.83,0,6376.6752796667615,0.942933,1.37978,0.0075795,4.42286,0.000306972,12.9978,-3.66889,0.366132,0.32713,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1,1,0,1,0,0,0,0,0,0,0,0,3,NA,FOCE_I,NA,476.81,0,6418.4964971667378,0.942922,1.37976,0.00757916,4.42279,0.000306965,12.9982,-3.66893,0.366116,0.327131,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1,1,0,1,0,0,0,0,0,0,0,0,3,NA,FOCE_I,NA,365.37,0,5380.2205431519415,0.942593,1.3797,0.00757991,4.4236,0.000306977,12.9992,-3.92729,0.366169,0.327132,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,615.7,0,3951.2345438760358,0.942918,1.38047,0.00758039,4.42243,0.000306988,13.0412,-3.67614,0.366944,0.327371,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1,1,0,0,0,0,0,1,0,0,0,0,2.6,NA,FOCE_I,NA,297.19,0,5408.0263902355373,0.942893,1.37972,0.00757968,4.42304,0.000306981,12.9981,-3.67881,0.366112,0.32713,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,481.45,0,5836.0025357677232,0.936123,1.37903,0.00757954,4.42877,0.000306919,12.999,-2.45124,0.366055,0.330605,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,210.12,0,4822.1000991625824,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,336.08,0,6713.3067104188940,0.942926,1.37975,0.00757963,4.42224,0.000306996,12.9977,-3.66855,0.366122,0.327108,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1,1,0,1,0,0,0,0,0,0,0,0,3,NA,FOCE_I,NA,321.56,0,5426.6797833879828,0.942929,1.37966,0.00757952,4.42281,0.000306966,12.9977,-3.66862,0.366133,0.327135,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,1,0,0,0,0,0,1,0,0,0,0,2.3,NA,FOCE_I,NA,332.53,0,4039.7212617193773,0.942962,1.3797,0.00757981,4.42301,0.000306978,12.9981,-3.66854,0.36611,0.327113,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,706.78,0,6081.8038906899537,0.942914,1.37976,0.00757891,4.42261,0.00030698,13.0003,-3.66899,0.365967,0.327081,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,772.95,0,4808.9446777929788,0.942944,1.37971,0.00757954,4.42281,0.000306777,12.997,-3.6693,0.366101,0.327114,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1,1,0,0,0,0,0,1,0,0,0,0,2.5,NA,FOCE_I,NA,734.54,0,5306.5795770392851,0.942941,1.41053,0.00814214,4.42282,0.000298704,11.9237,-3.66926,0.366104,0.327463,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1,1,0,0,0,0,0,1,0,0,0,0,2.2,NA,FOCE_I,NA,281.94,0,4987.9933458282185,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,370.28,0,3533.7971131598056,0.942955,1.37978,0.00757994,4.42259,0.000306966,12.9969,-3.66879,0.366122,0.3271,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,529.42,0,6669.5537816165670,0.942816,1.37973,0.00757969,4.42315,0.000306986,12.9984,-3.67832,0.36614,0.327314,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,432.25,0,5327.8975858604699,0.9429,1.37966,0.00757966,4.423,0.00030698,12.9981,-3.66866,0.366114,0.327132,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,415.58,0,3842.8017050004919,0.9332,1.37895,0.00757982,4.4272,0.000306688,12.9836,-1.55691,0.36622,0.328655,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,397.61,0,4002.0165696357481,0.942971,1.37982,0.00757944,4.42285,0.000306531,12.9975,-3.67014,0.366133,0.327096,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1,1,0,0,0,0,0,1,0,0,0,0,2.5,NA,FOCE_I,NA,211.56,0,5593.9319591139147,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,355.22,0,6927.8190590977838,0.942696,1.37964,0.00757888,4.42326,0.000306962,12.9968,-3.68468,0.366107,0.327195,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,219.25,0,5515.6085008054324,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,276.59,0,5143.5094571853469,0.942885,1.37972,0.00757969,4.42305,0.000306981,12.9981,-3.67216,0.366112,0.327133,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1,1,0,1,0,0,0,0,0,0,0,0,3,NA,FOCE_I,NA,350.93,0,4338.8804260735487,0.942633,1.37966,0.00758303,4.42352,0.000306629,12.995,-3.64773,0.366142,0.327326,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,285.24,0,5708.5528759158078,0.942839,1.37971,0.00757971,4.42313,0.000306981,12.9981,-3.68216,0.366111,0.32715,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,521.02,0,5748.8398764352805,0.942931,1.37976,0.00758101,4.42279,0.000306998,12.9972,-3.66918,0.366045,0.327006,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,369.07,0,6440.9851619139836,0.942926,1.37969,0.00758479,4.4228,0.000306974,12.9974,-3.66796,0.36612,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,393.02,0,5964.7350403703149,0.942907,1.37973,0.00757967,4.4217,0.000306974,12.9983,-3.67861,0.366039,0.32712,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,201.36,0,2876.6201243842788,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
