"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","[1]   CL (L/d)","[2,3] V1  (L)","V2","Q","CLADA","V1ALB1","IIV CL","IIV V1","EPS(1), proportional","EPS(2)","se[1]   CL (L/d)","se[2,3] V1  (L)","seV2","seQ","seCLADA","seV1ALB1","seIIV CL","seIIV V1","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
41,1,1,0,0,0,0,1,1,4,1,0,0,NA,NA,FOCE_I,NA,5445.29,0,10219.644377682818,1.4774,4.70385,0.0241114,0.188254,6.43267,-0.139871,0.527268,0.289977,0.29023,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,1,0,0,0,0,0,1,0,0,0,0,2.5,NA,FOCE_I,NA,1717.52,0,11396.678901422336,1.32379,4.67549,0.239429,2.08969,4.18751,-0.117487,0.655097,0.380057,0.284038,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,NA,2193.55,0,11055.787870167203,1.24535,4.4812,0.189883,1.9002,6.23231,-0.123532,0.507908,0.384127,0.26912,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,FOCE_I,NA,3637.35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1,1,0,0,0,0,1,1,2,1,0,0,NA,NA,FOCE_I,NA,3142.54,0,12065.860774965478,1.31537,4.47303,0.378426,2.64993,4.09197,-0.139871,0.622523,0.387316,0.284709,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1,1,0,0,0,0,0,1,0,0,0,0,2.7,NA,FOCE_I,NA,1913.91,0,10364.152910138995,1.43281,4.84956,0.226329,2.08525,6.7696,-0.129257,0.687711,0.422399,0.291742,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1,1,0,1,0,0,0,0,0,0,1,0,3.7,NA,FOCE_I,NA,2172.42,0,10564.375928992997,1.47967,4.70395,0.226908,1.98347,6.56246,-0.125767,0.566321,0.301752,0.292668,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,FOCE_I,NA,2521.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1,1,0,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,NA,1818.04,0,9986.2453839310019,1.56939,5.2058,0.160233,1.69192,1.52423,-0.124615,0.650391,0.403522,0.295318,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,NA,1865.73,0,11750.111039952140,1.32088,4.50415,0.207038,1.96144,1.62286,-0.128496,0.477174,0.296407,0.283104,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1,1,0,0,0,0,1,1,6,2,0,0,NA,NA,FOCE_I,NA,2228.38,0,11095.300891713057,1.5014,5.97289,0.0448706,0.84642,7.9778,-0.139871,0.537695,0.420943,0.28581,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
