"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","[1]   CL (L/d)","[2,3] V1  (L)","V2","Q","CLADA","V1ALB1","IIV CL","IIV V1","EPS(1), proportional","EPS(2)","se[1]   CL (L/d)","se[2,3] V1  (L)","seV2","seQ","seCLADA","seV1ALB1","seIIV CL","seIIV V1","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
475,5,75,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10637.214320560543,13.0590297995823,0.00145971378552533,6.31461284467537e-05,23.1164415211329,0.000204097413332944,1,435,1.39157,4.11692,0.210142,2.23434,6.05883,-0.127883,0.483914,0.498077,0.314989,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,5,76,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10630.090524900486,5.93523413952607,0.0514257083163761,0.00148403567839639,34.6526091420829,0.000305951410586747,0,0,1.34155,4.70144,0.259646,2.34705,5.67314,-0.124611,0.746003,0.29311,0.284826,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,5,77,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.779404928975,4.62411416801478,0.099057272699264,0.000219220012287685,451.862362680967,0.00398953875843683,1,56,1.38442,5.02925,0.108066,1.67938,5.6723,-0.12363,0.58137,0.283549,0.295233,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,5,78,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.257819863444,3.10252910248346,0.211979745018166,0.0542331941002138,3.90867159006831,3.45100590145594e-05,0,0,1.37934,4.8255,0.239715,2.03574,5.29942,-0.126918,0.690315,0.313804,0.28844,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,5,79,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10630.407935835399,6.25264507443899,0.0438788638015946,0.0154022808643017,2.84885493182337,2.51528299463565e-05,0,0,1.34483,4.48411,0.230649,2.1042,5.4807,-0.126089,0.731971,0.405792,0.308104,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,5,80,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10630.698168188692,6.54287742773158,0.0379517860174009,0.00102935359338264,36.8695327449962,0.000325524854557252,1,372,1.32724,5.22633,0.260977,2.27635,4.89859,-0.127631,0.694248,0.312066,0.292306,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,5,81,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.901229604175,4.74593884321439,0.0932035543134652,0.0120786695436273,7.71637587871917,6.81286674556528e-05,1,428,1.3647,4.95178,0.279658,2.25994,5.93923,-0.129829,0.511022,0.389961,0.280719,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,5,82,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10630.699895534481,6.5446047735204,0.0379190222391534,0.00463721370070842,8.17711338887846,7.21965657938553e-05,0,0,1.44365,4.40846,0.17726,1.98994,5.22601,-0.126119,0.842181,0.334737,0.287801,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483,5,83,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.795539453067,3.64024869210698,0.162005604923753,0.0964213528707381,1.68018390222067,1.4834514562001e-05,1,40,1.3685,4.39254,0.232041,2.10363,6.10086,-0.127585,0.537597,0.378969,0.302502,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,5,84,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.403472338397,2.24818157743721,0.324947779274324,0.0102711725099518,31.6368729041868,0.000279325168615797,0,0,1.43049,4.60277,0.199766,2.29574,6.28117,-0.126058,0.619539,0.33917,0.280142,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
