"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","[1]   CL (L/d)","[2,3] V1  (L)","V2","Q","CLADA","V1ALB1","IIV CL","IIV V1","EPS(1), proportional","EPS(2)","se[1]   CL (L/d)","se[2,3] V1  (L)","seV2","seQ","seCLADA","seV1ALB1","seIIV CL","seIIV V1","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
46,1,46,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10631.366526664284,7.21123590332354,0.0271706494762394,0.00847448386381004,3.20617159851712,5.732394359152e-05,0,0,1.3249,4.64598,0.281414,2.31151,4.81644,-0.130496,0.734345,0.420914,0.282812,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1,47,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10629.323749025129,5.16845826416829,0.0754542224272138,0.0143499792736815,5.25814156161188,9.40116275789711e-05,0,0,1.32062,4.51117,0.208132,1.89229,6.04065,-0.129855,0.588101,0.383783,0.304255,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1,48,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.118097653831,3.9628068928705,0.13787560044324,0.0192007955367331,7.18072332885737,0.000128385947664221,0,0,1.45475,4.43507,0.182531,2.05176,6.07411,-0.123269,0.571197,0.364749,0.297802,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1,49,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.542567403860,4.38727664289945,0.111510299355146,0.00736063173694974,15.1495555463498,0.000270862691185092,1,495,1.31231,4.89137,0.255327,2.14751,4.7711,-0.126311,0.540499,0.326823,0.299515,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,1,50,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.114021456226,0.958730695265331,0.619176228794895,0.246618871975903,2.5106603717472,4.48887244818916e-05,0,0,1.39256,4.58791,0.254888,2.55712,5.52786,-0.127112,0.611269,0.40389,0.286516,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1,51,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.653142408379,2.49785164741843,0.286812718871828,0.00993231140897787,28.8767344338978,0.000516294354476119,1,836,1.492,4.85704,0.185423,2.14397,6.54525,-0.126144,0.629725,0.393157,0.297475,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,52,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.088539830642,1.93324906968155,0.380364781714431,0.252831430959221,1.50442047601186,2.68979098139094e-05,1,371,1.41276,4.57728,0.252455,2.23428,5.45784,-0.126482,0.642379,0.437287,0.286784,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1,53,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10632.956537523083,8.8012467621229,0.0122696888269036,0.00485692886509857,2.52622370384554,4.5166985187499e-05,0,0,1.40238,5.17889,0.237329,2.23584,6.64924,-0.125954,0.662257,0.280759,0.301259,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1,54,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.733131830464,3.57784106950385,0.16714049467779,0.0465716950626208,3.58888579110233,6.41665863239224e-05,0,0,1.53113,4.33169,0.262883,2.21165,5.73156,-0.127617,0.686015,0.386114,0.294625,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1,55,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.498597440437,3.34330667947688,0.18793608643246,0.0721773405629818,2.60381007344636,4.65541712871216e-05,0,0,1.42417,4.83522,0.274593,2.5241,6.20377,-0.128101,0.488459,0.341003,0.289635,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
